us,fanRPM,Itemp,Isetp,Iheat,IP,II,ID,Etemp,Esetp,Eheat,EP,EI,ED
159934241,0,27.1875,-127,0,-115.640625,-255,-7612.5,22,24,-127,1.75,60,-11550
160112236,1031,27.1875,60,0,-115.640625,-1726.900024,0,22,24,60,1.75,42,0
160134149,1031,27.1875,60,0,-115.640625,-1726.900024,0,22,24,60,1.75,42,0
160234166,1840,27.1875,60,255,24.609375,255,0,22,24,60,1.75,42,0
160334172,2445,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
160434149,2881,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
160534144,3370,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
160634150,3731,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
160734143,4020,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
160834175,4216,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
160934149,4506,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
161112143,4830,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
161134165,4862,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
161234145,4989,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
161334153,5017,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
161434172,5107,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
161534157,5267,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
161634147,5245,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
161734143,5289,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
161834175,5419,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
161934165,5367,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
162112182,5523,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
162134170,5508,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
162234166,5443,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
162334170,5541,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
162434175,5467,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
162534178,5566,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
162634150,5488,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
162734163,5496,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
162834168,5586,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
162934157,5504,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
163080897,5505,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
163134175,5601,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
163234164,5514,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
163334164,5605,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
163434164,5519,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
163534164,5521,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
163634171,5608,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
163734156,5522,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
163834163,5613,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
163934164,5612,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
164080900,5530,27.1875,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
164134143,5620,27.125,60,255,24.609375,367.5,0,22,24,60,1.75,42,0
164234154,5614,27.125,60,255,24.65625,255,17.5,22,24,60,1.75,42,0
164334158,5529,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
164434146,5618,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
164534153,5531,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
164634153,5529,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
164734170,5620,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
164834175,5529,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
164934161,5529,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
165112219,5501,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
165134165,5534,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
165234168,5534,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
165334152,5621,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
165434170,5533,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
165534165,5622,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
165634170,5623,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
165734176,5538,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
165834143,5625,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
165934166,5625,27.125,60,255,24.65625,368.1999817,0,22,24,60,1.75,42,0
166112201,5610,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,60,32.8125
166134158,5627,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,60,32.8125
166234156,5626,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
166334149,5536,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
166434166,5624,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
166534170,5535,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
166634152,5535,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
166734147,5623,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
166834175,5532,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
166934143,5533,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
167112203,5533,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
167134169,5533,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
167234166,5535,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
167334152,5627,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
167434158,5535,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
167534145,5625,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
167634151,5623,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
167734153,5537,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
167834163,5627,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
167934175,5627,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
168112143,5613,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
168134152,5629,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
168234171,5627,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
168334143,5541,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
168434158,5628,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
168534143,5539,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
168634169,5540,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
168734165,5626,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
168834172,5538,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
168934152,5541,27.125,60,255,24.65625,368.1999817,0,21.9375,24,60,1.8046875,43.3125,0
169112096,5542,27.1875,60,255,24.609375,367.5,-17.5,21.9375,24,60,1.8046875,43.3125,0
169134157,5543,27.1875,60,255,24.609375,367.5,-17.5,21.9375,24,60,1.8046875,43.3125,0
169234147,5544,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
169334172,5631,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
169434165,5544,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
169534143,5543,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
169634176,5632,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
169734164,5543,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
169834175,5633,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
169934178,5633,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
170112135,5616,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
170134150,5634,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
170234175,5633,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
170334175,5544,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
170434152,5634,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
170534175,5632,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
170634175,5544,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
170734150,5634,27.1875,60,255,24.609375,367.5,0,21.9375,24,60,1.8046875,43.3125,0
