us,fanRPM,Itemp,Isetp,Iheat,IP,II,ID,Etemp,Esetp,Eheat,EP,EI,ED
10806305,0,24.9375,-127,0,-3874.40625,-255,0,22.25,24.25,-127,600,0,-17800
10890708,656,24.9375,-127,0,-3874.40625,-255,0,22.25,24.25,-127,600,0,-17800
10974240,1230,24.9375,60,0,-3874.40625,-15.19375038,0,22.25,24.25,60,600,0,0
11058078,1904,24.9375,60,0,-3874.40625,-15.19375038,0,22.25,24.25,60,600,0,0
11142083,2382,24.9375,60,255,894.09375,255,0,22.25,24.25,60,600,0,0
11226424,2846,24.9375,60,255,894.09375,255,0,22.25,24.25,60,600,0,0
11310770,3202,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
11395230,3497,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
11479236,3841,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
11561379,4144,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
11645618,4359,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
11729864,4546,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
11814206,4706,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
11898641,4770,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
11983142,5002,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
12067141,5023,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
12151497,5208,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
12235545,5185,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
12319607,5265,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
12403869,5380,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
12487388,5468,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
12571238,5511,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
12655636,5450,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
12739897,5487,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
12824239,5508,24.9375,60,255,894.09375,3.506250143,0,22.25,24.25,60,600,0,0
