us,fanRPM,Itemp,Isetp,Iheat,IP,II,ID,Etemp,Esetp,Eheat,EP,EI,ED
16612343,3,24.9375,60,0,-15193.75,-255,-12468.75,21,23,60,400,60,-210
16665234,460,24.9375,60,0,-15193.75,-255,-12468.75,21,23,60,400,60,-210
16765228,1618,24.9375,60,255,3506.25,255,0,21,23,60,400,0.200000003,0
16865248,2186,24.9375,60,255,3506.25,3.506250143,0,21,23,60,400,0.200000003,0
16965238,2753,24.9375,60,255,3506.25,3.506250143,0,21,23,60,400,0.200000003,0
17112264,3400,24.9375,60,255,3506.25,3.506250143,0,21,23,60,400,0.200000003,0
17165228,3624,24.9375,60,255,3506.25,3.506250143,0,21,23,60,400,0.200000003,0
17265240,3926,24.9375,60,255,3506.25,3.506250143,0,21,23,60,400,0.200000003,0
17365270,4128,25,60,255,3500,3.5,-31.25,21,23,60,400,0.200000003,0
17465267,4422,25,60,255,3500,3.5,-31.25,21,23,60,400,0.200000003,0
17612266,4592,25,60,255,3500,3.5,0,21.0625,23,60,387.5,0.193750009,-0.625
17665241,4677,25,60,255,3500,3.5,0,21.0625,23,60,387.5,0.193750009,-0.625
17765239,4795,25,60,255,3500,3.5,0,21.0625,23,60,387.5,0.193750009,0
17865253,4880,25,60,255,3500,3.5,0,21.0625,23,60,387.5,0.193750009,0
17965262,5113,25,60,255,3500,3.5,0,21.0625,23,60,387.5,0.193750009,0
18112282,5185,25,60,255,3500,3.5,0,21,23,60,400,60,0.625
18165266,5130,25,60,255,3500,3.5,0,21,23,60,400,60,0.625
18265271,5283,25,60,255,3500,3.5,0,21,23,60,400,0.200000003,0
18365220,5297,25.0625,60,255,3500,3.5,0,21,23,60,400,0.200000003,0
18465273,5256,25.0625,60,255,3493.75,3.493750095,-31.25,21,23,60,400,0.200000003,0
18612263,5388,25.0625,60,255,3493.75,3.493750095,0,21,23,60,400,0.200000003,0
18665257,5303,25.0625,60,255,3493.75,3.493750095,0,21,23,60,400,0.200000003,0
