us,fanRPM,Itemp,Isetp,Iheat,IP,II,ID,Etemp,Esetp,Eheat,EP,EI,ED
62933950,0,23.4375,-127,0,0,0,0,21.4375,23.4375,-127,1.75,60,-11254.6875
63112037,1052,23.4375,60,0,0,0,0,21.4375,23.4375,60,1.75,21,0
63133862,1052,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
63233887,1800,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
63333875,2399,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
63433890,2969,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
63533890,3310,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
63633862,3673,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
63733895,4066,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
63833874,4259,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
63933884,4538,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
64111865,4856,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
64133874,4891,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
64233870,5026,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
64333878,5046,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
64433881,5136,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
64533880,5295,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
64633866,5274,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
64733895,5411,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
64833881,5366,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
64933881,5487,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
65111892,5537,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
65133881,5540,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
65233894,5475,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
65333894,5578,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
65433877,5594,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
65533888,5516,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
65633870,5614,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
65733882,5621,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
65833862,5539,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
65933887,5633,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
66111895,5553,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
66133898,5556,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
66233875,5647,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
66333886,5558,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
66433874,5560,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
66533864,5646,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
66633876,5560,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
66733876,5562,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
66833865,5650,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
66933862,5653,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
67111866,5664,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
67133883,5655,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
67233863,5655,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
67333881,5563,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
67433874,5655,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
67533870,5655,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
67633881,5569,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
67733868,5657,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
67833862,5659,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
67933866,5569,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
68111869,5660,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
68133862,5663,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
68233888,5569,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
68333862,5659,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
68433875,5663,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
68533862,5568,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
68633863,5571,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
68733875,5663,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
68833881,5571,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
68933868,5569,23.4375,60,255,0,0,0,21.4375,23.4375,60,1.75,21,0
69111854,5572,23.4375,28.8828125,255,0,0,0,21.5,23.4375,28.8828125,1.6953125,20.34375,-32.8125
69133865,5571,23.4375,28.8828125,255,0,0,0,21.5,23.4375,28.8828125,1.6953125,20.34375,-32.8125
69233864,5571,23.4375,60,255,0,0,0,21.5,23.4375,60,1.6953125,20.34375,0
69333884,5659,23.4375,60,255,0,0,0,21.5,23.4375,60,1.6953125,20.34375,0
69433877,5566,23.4375,60,255,0,0,0,21.5,23.4375,60,1.6953125,20.34375,0
