us,fanRPM,Itemp,Isetp,Iheat,IP,II,ID,Etemp,Esetp,Eheat,EP,EI,ED
41665282,1,26.5,60,0,-15350,-255,-13250,21.375,23.375,60,400,60,-213.75
41765191,454,26.5,60,0,-15350,-255,-13250,21.375,23.375,60,400,60,-213.75
41865169,1355,26.5,60,255,3350,255,0,21.375,23.375,60,400,0.200000003,0
41965129,2008,26.5,60,255,3350,255,0,21.375,23.375,60,400,0.200000003,0
42112187,2777,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
42165200,2963,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
42265192,3422,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
42365164,3763,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
42465171,4040,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
42612153,4332,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
42665183,4431,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
42765172,4659,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
42865203,4804,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
42965168,4926,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
43112172,4988,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
43165142,5024,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
43265182,5201,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
43365161,5232,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
43465175,5193,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
43612122,5330,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
43665167,5367,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
43765168,5284,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
43865143,5380,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
43965172,5293,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
44112196,5416,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
44165171,5357,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
44265134,5448,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
44365172,5354,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
44465134,5463,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
44612185,5385,26.5,60,255,3350,3.350000143,0,21.3125,23.375,60,412.5,60,0.625
44665133,5441,26.5,60,255,3350,3.350000143,0,21.3125,23.375,60,412.5,60,0.625
44765164,5366,26.5,60,255,3350,3.350000143,0,21.3125,23.375,60,412.5,0.206249997,0
44865188,5462,26.5,60,255,3350,3.350000143,0,21.3125,23.375,60,412.5,0.206249997,0
44965214,5390,26.5,60,255,3350,3.350000143,0,21.3125,23.375,60,412.5,0.206249997,0
45112193,5426,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,-0.625
45165139,5486,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,-0.625
45265163,5400,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
45365134,5479,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
45465202,5434,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
45612194,5492,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
45665136,5404,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
45765184,5525,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
45865207,5397,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
45965180,5508,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
46112114,5378,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
46165181,5479,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
46265207,5418,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
46365176,5497,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
46465169,5506,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
46612154,5410,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
46665183,5498,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
46765166,5411,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
46865172,5505,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
46965185,5411,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
47112189,5501,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
47165164,5413,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
47265165,5481,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
47365169,5413,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
47465176,5503,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
47612185,5502,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
47665132,5429,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
47765198,5505,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
47865204,5415,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
47965165,5510,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
48112188,5397,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
48165154,5485,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
48265194,5428,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
48365130,5474,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
48465134,5416,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
48612171,5448,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
48665169,5504,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
48765189,5417,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
48865170,5506,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
48965189,5447,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
49112167,5479,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
49165171,5451,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
49265168,5486,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
49365168,5410,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
49465211,5511,26.5,60,255,3350,3.350000143,0,21.375,23.375,60,400,0.200000003,0
