us,fanRPM,Itemp,Isetp,Iheat,IP,II,ID,Etemp,Esetp,Eheat,EP,EI,ED
12790860,3735,26.5,60,255,0,0,0,22,24,60,412.5,0,0
12875251,3934,26.5,60,255,0,0,0,22,24,60,400,0,-100
12958956,4224,26.5,60,255,0,0,0,22,24,60,400,0,-100
13043140,4418,26.5,60,255,0,0,0,22,24,60,400,0,0
13128041,4719,26.5,60,255,0,0,0,22,24,60,400,0,0
13212054,4857,26.5,60,255,0,0,0,22,24,60,400,0,0
13296329,4931,26.5,60,255,0,0,0,22,24,60,400,0,0
13380493,5122,26.5,60,255,0,0,0,22,24,60,400,0,0
13464050,5147,26.5,60,255,0,0,0,22,24,60,400,0,0
13549013,5255,26.5,60,255,0,0,0,22,24,60,400,0,0
13632008,5417,26.5,60,255,0,0,0,22,24,60,400,0,0
13716232,5486,26.5,60,255,0,0,0,22,24,60,400,0,0
13799866,5545,26.5,60,255,0,0,0,22,24,60,400,0,0
13884385,5486,26.5,60,255,0,0,0,22,24,60,400,0,0
13968821,5532,26.5,60,255,0,0,0,22,24,60,400,0,0
14053110,5574,26.5,60,255,0,0,0,22,24,60,400,0,0
14137235,5603,26.5,60,255,0,0,0,22,24,60,400,0,0
14221593,5628,26.5,60,255,0,0,0,22,24,60,400,0,0
14306035,5647,26.5,60,255,0,0,0,22,24,60,400,0,0
14389696,5666,26.5,60,255,0,0,0,22,24,60,400,0,0
14474290,5681,26.5,60,255,0,0,0,22,24,60,400,0,0
14560726,5702,26.5,60,255,0,0,0,22,24,60,400,0,0
14644756,5685,26.5,60,255,0,0,0,22,24,60,400,0,0
14728795,5748,26.5,60,255,0,0,0,22,24,60,400,0,0
14813256,5722,26.5,60,255,0,0,0,21.9375,24,60,400,0,0
14897547,5824,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,100
14981792,5826,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,100
15064878,5829,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
15148713,5833,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
15233078,5836,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
15317454,5841,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
15401861,5815,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
15486012,5846,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
15569030,5842,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
15653234,5765,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
15737290,5757,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
15820860,5758,26.5,60,255,0,0,0,22,24,60,412.5,0,0
15905231,5758,26.5,60,255,0,0,0,22,24,60,400,0,-100
15987308,5769,26.5,60,255,0,0,0,22,24,60,400,0,-100
16071347,5763,26.5,60,255,0,0,0,22,24,60,400,0,0
16155636,5760,26.5,60,255,0,0,0,22,24,60,400,0,0
16239237,5743,26.5,60,255,0,0,0,22,24,60,400,0,0
16323583,5788,26.5,60,255,0,0,0,21.9375,24,60,400,0,0
16407218,5750,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,100
16490680,5884,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,100
16572284,5778,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
16656497,5851,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
16740877,5888,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
16825007,5854,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
16908006,5850,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
16991501,5849,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
17074252,5867,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
17159028,5867,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
17242882,5819,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
17327456,5849,26.5,60,255,0,0,0,22,24,60,412.5,0,0
17411455,5762,26.5,60,255,0,0,0,22,24,60,400,0,-100
17495117,5748,26.5,60,255,0,0,0,22,24,60,400,0,-100
17579417,5757,26.5,60,255,0,0,0,22,24,60,400,0,0
17664006,5757,26.5,60,255,0,0,0,22,24,60,400,0,0
17748360,5733,26.5,60,255,0,0,0,22,24,60,400,0,0
17830446,5757,26.5,60,255,0,0,0,21.9375,24,60,400,0,0
17914231,5727,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,100
17998310,5757,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,100
18082680,5890,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
18167235,5853,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
18251242,5857,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
18335064,5844,26.5,60,255,0,0,0,22,24,60,412.5,0,0
18419072,5855,26.5,60,255,0,0,0,22,24,60,400,0,-100
18503228,5840,26.5,60,255,0,0,0,22,24,60,400,0,-100
18588013,5884,26.5,60,255,0,0,0,22,24,60,400,0,0
18671887,5760,26.5,60,255,0,0,0,22,24,60,400,0,0
18755901,5767,26.5,60,255,0,0,0,22,24,60,400,0,0
18840020,5757,26.5,60,255,0,0,0,21.9375,24,60,400,0,0
18924562,5761,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,100
19008875,5800,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,100
19093245,5763,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
19177122,5762,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
19261166,5867,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
19345301,5852,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
19429631,5855,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
19513693,5859,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
19598126,5866,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
19682497,5854,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
19766569,5798,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
19850649,5784,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
19934983,5763,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
20019145,5795,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
20112249,5858,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
20212279,5860,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
20312302,5765,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
20412297,5767,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
20512228,5766,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
20612198,5822,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
20712193,5859,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
20812224,5860,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
20912231,5770,26.5,60,255,0,0,0,22,24,60,400,0,-100
21012228,5766,26.5,60,255,0,0,0,22,24,60,400,0,-100
21080992,5860,26.5,60,255,0,0,0,22,24,60,400,0,0
21212225,5776,26.5,60,255,0,0,0,22,24,60,400,0,0
21280979,5779,26.5,60,255,0,0,0,22,24,60,400,0,0
21412234,5863,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,100
21512274,5874,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
21612235,5750,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
21712211,5768,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
21812257,5769,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
21912224,5850,26.5625,60,255,0,0,0,21.9375,24,60,412.5,0,0
22012163,5860,26.5625,60,255,0,0,0,21.9375,24,60,412.5,0,0
22112230,5863,26.5,60,255,0,0,0,21.9375,24,60,412.5,0,0
22212227,5764,26.5625,60,255,0,0,0,21.9375,24,60,412.5,0,0
22312192,5772,26.5625,60,255,0,0,0,21.9375,24,60,412.5,0,0
22412193,5768,26.5625,60,255,0,0,0,21.9375,24,60,412.5,0,0
22512244,5768,26.5625,60,255,0,0,0,21.9375,24,60,412.5,0,0
22612229,5863,26.5625,60,255,0,0,0,21.9375,24,60,412.5,0,0
22712231,5866,26.5625,60,255,0,0,0,21.9375,24,60,412.5,0,0
22812228,5860,26.5625,60,255,0,0,0,21.9375,24,60,412.5,0,0
22912227,5732,26.5625,60,255,0,0,0,21.9375,24,60,412.5,0,0
23012228,5772,26.5625,60,255,0,0,0,21.9375,24,60,412.5,0,0
23112231,5790,26.5625,60,255,0,0,0,21.9375,24,60,412.5,0,0
23212205,5861,26.5625,60,255,0,0,0,21.9375,24,60,412.5,0,0
23312198,5872,26.5625,60,255,0,0,0,21.9375,24,60,412.5,0,0
23412264,5877,26.5625,60,255,0,0,0,22,24,60,400,0,-100
23512238,5768,26.5625,60,255,0,0,0,22,24,60,400,0,-100
23612240,5767,26.5625,60,255,0,0,0,22,24,60,400,0,0
23712234,5772,26.5625,60,255,0,0,0,22,24,60,400,0,0
23812218,5866,26.5625,60,255,0,0,0,22,24,60,400,0,0
23912295,5841,26.5625,60,255,0,0,0,22,24,60,400,0,0
24012226,5873,26.5625,60,255,0,0,0,22,24,60,400,0,0
24112270,5865,26.5625,60,255,0,0,0,22,24,60,400,0,0
24212232,5770,26.5625,60,255,0,0,0,22,24,60,400,0,0
24312257,5764,26.625,60,255,0,0,0,22,24,60,400,0,0
24412281,5781,26.625,60,255,0,0,0,22,24,60,400,0,0
24512237,5865,26.625,60,255,0,0,0,22,24,60,400,0,0
24612233,5864,26.625,60,255,0,0,0,22,24,60,400,0,0
24712243,5888,26.625,60,255,0,0,0,22,24,60,400,0,0
24812226,5774,26.625,60,255,0,0,0,22,24,60,400,0,0
24912227,5769,26.625,60,255,0,0,0,21.9375,24,60,412.5,0,100
25012210,5769,26.625,60,255,0,0,0,21.9375,24,60,412.5,0,100
25112228,5779,26.625,60,255,0,0,0,21.9375,24,60,412.5,0,0
25212202,5846,26.625,60,255,0,0,0,21.9375,24,60,412.5,0,0
25312211,5867,26.625,60,255,0,0,0,21.9375,24,60,412.5,0,0
25412199,5864,26.625,60,255,0,0,0,21.9375,24,60,412.5,0,0
25512232,5759,26.625,60,255,0,0,0,21.9375,24,60,412.5,0,0
25612270,5774,26.625,60,255,0,0,0,21.9375,24,60,412.5,0,0
25712207,5769,26.6875,60,255,0,0,0,21.9375,24,60,412.5,0,0
25812232,5872,26.6875,60,255,0,0,0,21.9375,24,60,412.5,0,0
25912234,5867,26.6875,60,255,0,0,0,22,24,60,400,0,-100
26012228,5896,26.6875,60,255,0,0,0,22,24,60,400,0,-100
26112232,5905,26.6875,60,255,0,0,0,22,24,60,400,0,0
26212240,5755,26.6875,60,255,0,0,0,22,24,60,400,0,0
26312208,5768,26.6875,60,255,0,0,0,22,24,60,400,0,0
26412306,5807,26.6875,60,255,0,0,0,22,24,60,400,0,0
26512227,5839,26.6875,60,255,0,0,0,22,24,60,400,0,0
26612230,5864,26.6875,60,255,0,0,0,22,24,60,400,0,0
26712226,5859,26.6875,60,255,0,0,0,22,24,60,400,0,0
26812259,5794,26.6875,60,255,0,0,0,22,24,60,400,0,0
26912234,5774,26.6875,60,255,0,0,0,22,24,60,400,0,0
27012236,5780,26.6875,60,255,0,0,0,22,24,60,400,0,0
27112266,5782,26.6875,60,255,0,0,0,22,24,60,400,0,0
27212236,5839,26.75,60,255,0,0,0,22,24,60,400,0,0
27312226,5866,26.75,60,255,0,0,0,22,24,60,400,0,0
27412239,5866,26.75,60,255,0,0,0,22,24,60,400,0,0
27512238,5764,26.75,60,255,0,0,0,22,24,60,400,0,0
27612230,5773,26.75,60,255,0,0,0,22,24,60,400,0,0
27712279,5772,26.75,60,255,0,0,0,22,24,60,400,0,0
27780989,5771,26.75,60,255,0,0,0,22,24,60,400,0,0
27912214,5859,26.75,60,255,0,0,0,21.9375,24,60,412.5,0,100
28012257,5865,26.75,60,255,0,0,0,21.9375,24,60,412.5,0,0
28112228,5752,26.75,60,255,0,0,0,21.9375,24,60,412.5,0,0
28212228,5775,26.75,60,255,0,0,0,21.9375,24,60,412.5,0,0
28312224,5773,26.8125,60,255,0,0,0,21.9375,24,60,412.5,0,0
28412228,5778,26.8125,60,255,0,0,0,21.9375,24,60,412.5,0,0
28512231,5875,26.8125,60,255,0,0,0,21.9375,24,60,412.5,0,0
28612269,5880,26.8125,60,255,0,0,0,21.9375,24,60,412.5,0,0
28712243,5868,26.8125,60,255,0,0,0,21.9375,24,60,412.5,0,0
28812238,5774,26.8125,60,255,0,0,0,21.9375,24,60,412.5,0,0
28912206,5786,26.8125,60,255,0,0,0,22,24,60,412.5,0,0
29012245,5765,26.8125,60,255,0,0,0,22,24,60,400,0,-100
29080991,5763,26.8125,60,255,0,0,0,22,24,60,400,0,-100
