us,fanRPM,Itemp,Isetp,Iheat,IP,II,ID,Etemp,Esetp,Eheat,EP,EI,ED
24812568,2852,26,60,255,0,0,0,22.6875,24.6875,60,412.5,0,0
24912547,3384,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
25012574,3780,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
25112569,4085,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
25212545,4297,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
25312564,4571,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
25412533,4775,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
25512570,4942,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
25612531,5075,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
25712629,5270,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
25812599,5321,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
25912566,5463,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
26012577,5437,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
26112582,5562,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
26212597,5633,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
26312547,5581,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
26412564,5680,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
26512571,5727,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
26612545,5653,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
26712544,5673,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
26812533,5762,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
26912565,5790,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
27012530,5702,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
27112564,5714,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
27212545,5721,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
27312529,5819,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
27412595,5834,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
27512570,5837,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
27612531,5738,26,60,255,0,0,0,22.6875,24.6875,60,400,0,0
