us,fanRPM,Itemp,Isetp,Iheat,IP,II,ID,Etemp,Esetp,Eheat,EP,EI,ED
84111789,0,24.875,-127,0,-5543.4375,0,0,22.25,24.25,-127,400,0,-35600
84211632,849,24.9375,-127,0,-5543.4375,0,0,22.25,24.25,-127,400,0,-35600
84311648,1747,24.875,60,0,-5543.4375,0,0,22.25,24.25,60,400,0,0
84411577,2298,24.875,60,0,-5543.4375,0,0,22.25,24.25,60,400,0,0
84511586,2856,24.875,60,255,1282.0625,0,0,22.25,24.25,60,400,0,0
84580372,3182,24.875,60,255,1282.0625,0,0,22.25,24.25,60,400,0,0
84711570,3740,24.875,60,255,1282.0625,0,0,22.25,24.25,60,400,0,0
84811636,4044,24.875,60,255,1282.0625,0,0,22.25,24.25,60,400,0,0
84911668,4400,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,-100
84980353,4470,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,-100
85111642,4749,24.9375,60,255,1279.78125,0,0,22.3125,24.25,60,387.5,0,0
85211701,4898,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
85311641,5141,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
85411610,5198,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
85511642,5258,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
85611676,5419,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
85711717,5402,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
85811668,5525,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
85911678,5594,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
86011644,5541,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
86111644,5659,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
86211657,5679,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
86311569,5614,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
86411605,5708,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
86511590,5734,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
86611569,5628,24.875,60,255,1282.0625,0,0,22.3125,24.25,60,387.5,0,0
