us,fanRPM,Itemp,Isetp,Iheat,IP,II,ID,Etemp,Esetp,Eheat,EP,EI,ED
255465610,0,22.625,60,0,-14962.5,-255,-11312.5,21.0625,23,60,387.5,60,-210.625
255612393,1051,22.625,60,255,3737.5,255,0,21,23,60,400,60,0.625
255665383,1615,22.625,60,255,3737.5,255,0,21,23,60,400,60,0.625
255765461,2105,22.625,60,255,3737.5,3.737499952,0,21,23,60,400,0.200000003,0
255865373,2592,22.625,60,255,3737.5,3.737499952,0,21,23,60,400,0.200000003,0
255965386,3084,22.625,60,255,3737.5,3.737499952,0,21,23,60,400,0.200000003,0
256081179,3473,22.625,60,255,3737.5,3.737499952,0,21.125,23,60,375,0.1875,-1.25
256165414,3680,22.625,60,255,3737.5,3.737499952,0,21.125,23,60,375,0.1875,-1.25
256265380,4031,22.625,60,255,3737.5,3.737499952,0,21.125,23,60,375,0.1875,0
256365416,4185,22.625,60,255,3737.5,3.737499952,0,21.125,23,60,375,0.1875,0
256465431,4436,22.625,60,255,3737.5,3.737499952,0,21.125,23,60,375,0.1875,0
256612447,4580,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,60,0.625
256665477,4638,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,60,0.625
256765461,4739,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
256865402,4831,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
256965378,4882,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
257112371,5071,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
257165391,5091,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
257265402,5054,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
257365398,5062,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
257465409,5203,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
257612447,5218,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
257665373,5149,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
257765418,5268,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
257865350,5265,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
257965429,5211,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
258112415,5295,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
258165396,5212,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
258265373,5217,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
258365385,5304,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
258465427,5226,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
258612458,5319,22.625,60,255,3737.5,3.737499952,0,21,23,60,400,60,0.625
258665385,5319,22.625,60,255,3737.5,3.737499952,0,21,23,60,400,60,0.625
258765506,5228,22.625,60,255,3737.5,3.737499952,0,21,23,60,400,0.200000003,0
258865414,5351,22.625,60,255,3737.5,3.737499952,0,21,23,60,400,0.200000003,0
258965386,5243,22.625,60,255,3737.5,3.737499952,0,21,23,60,400,0.200000003,0
259112446,5323,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,-0.625
259165392,5324,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,-0.625
259265384,5235,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
259365397,5358,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
259465417,5261,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
259612438,5334,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
259665431,5251,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
259765389,5254,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
259865372,5325,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
259965395,5267,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
260112447,5339,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
260165402,5247,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
260265417,5245,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
260365375,5348,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
260465381,5258,22.6875,60,255,3731.25,3.731250048,-31.25,21.0625,23,60,387.5,0.193750009,0
260612447,5333,22.625,60,255,3737.5,255,31.25,21.0625,23,60,387.5,0.193750009,0
260665379,5262,22.625,60,255,3737.5,255,31.25,21.0625,23,60,387.5,0.193750009,0
260765388,5343,22.625,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
260865380,5339,22.6875,60,255,3737.5,3.737499952,0,21.0625,23,60,387.5,0.193750009,0
260965434,5259,22.6875,60,255,3731.25,3.731250048,-31.25,21.0625,23,60,387.5,0.193750009,0
261112495,5355,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
261165427,5270,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
261265382,5358,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
261365412,5261,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
261465482,5375,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
261612444,5347,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
261665482,5251,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
261765391,5347,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
261865388,5264,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
261965407,5367,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
262112406,5277,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
262165460,5263,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
262265431,5331,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
262365470,5265,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
262465387,5353,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
262612502,5288,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
262665432,5375,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
262765406,5344,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
262865376,5245,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
262965370,5352,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
263112436,5274,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
263165377,5355,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
263265397,5270,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
263365478,5356,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
263465485,5355,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
263612444,5271,22.6875,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
263665382,5350,22.75,60,255,3731.25,3.731250048,0,21.0625,23,60,387.5,0.193750009,0
263765386,5271,22.75,60,255,3725,3.725000143,-31.25,21.0625,23,60,387.5,0.193750009,0
263865410,5371,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
263965399,5273,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
264112370,5360,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
264165477,5360,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
264265413,5245,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
264365387,5344,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
264465400,5292,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
264612406,5361,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
264665383,5277,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
264765409,5361,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
264865506,5285,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
264965390,5278,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
265112454,5338,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
265165465,5284,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
265265398,5374,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
265365399,5284,22.75,60,255,3725,3.725000143,0,21.0625,23,60,387.5,0.193750009,0
265465400,5360,22.8125,60,255,3718.75,3.71875,-31.25,21.0625,23,60,387.5,0.193750009,0
265612458,5287,22.8125,60,255,3718.75,3.71875,0,21.0625,23,60,387.5,0.193750009,0
265665410,5387,22.75,60,255,3718.75,3.71875,0,21.0625,23,60,387.5,0.193750009,0
